fecha,anio,mes,linea,afluencia
2005-08-11,2005,Agosto,Línea 3,NaN
2005-08-11,2005,Agosto,Línea 2,NaN
2005-08-11,2005,Agosto,Línea 5,NaN
2005-08-11,2005,Agosto,Línea 6,NaN
2005-08-11,2005,Agosto,Línea 4,NaN
2005-08-11,2005,Agosto,Línea 7,NaN
2005-08-12,2005,Agosto,Línea 7,NaN
2005-08-12,2005,Agosto,Línea 3,NaN
2005-08-12,2005,Agosto,Línea 1,266437
2005-08-12,2005,Agosto,Línea 5,NaN
2005-08-12,2005,Agosto,Línea 6,NaN
2005-08-12,2005,Agosto,Línea 2,NaN
2005-08-12,2005,Agosto,Línea 4,NaN
2005-08-13,2005,Agosto,Línea 7,NaN
2005-08-13,2005,Agosto,Línea 5,NaN
2005-08-13,2005,Agosto,Línea 6,NaN
2005-08-13,2005,Agosto,Línea 1,166912
2005-08-13,2005,Agosto,Línea 2,NaN
2005-08-13,2005,Agosto,Línea 4,NaN
2005-08-13,2005,Agosto,Línea 3,NaN
2005-08-14,2005,Agosto,Línea 1,101768
2005-08-14,2005,Agosto,Línea 2,NaN
2005-08-14,2005,Agosto,Línea 5,NaN
2005-08-14,2005,Agosto,Línea 3,NaN
2005-08-14,2005,Agosto,Línea 6,NaN
2005-08-14,2005,Agosto,Línea 7,NaN
2005-08-14,2005,Agosto,Línea 4,NaN
2005-08-15,2005,Agosto,Línea 1,264223
2005-08-15,2005,Agosto,Línea 6,NaN
2005-08-15,2005,Agosto,Línea 5,NaN
2005-08-15,2005,Agosto,Línea 3,NaN
2005-08-15,2005,Agosto,Línea 7,NaN
2005-08-15,2005,Agosto,Línea 2,NaN
2005-08-15,2005,Agosto,Línea 4,NaN
2005-08-16,2005,Agosto,Línea 4,NaN
2005-08-16,2005,Agosto,Línea 7,NaN
2005-08-16,2005,Agosto,Línea 2,NaN
2005-08-16,2005,Agosto,Línea 5,NaN
2005-08-16,2005,Agosto,Línea 6,NaN
2005-08-16,2005,Agosto,Línea 1,257282
2005-08-16,2005,Agosto,Línea 3,NaN
2005-08-17,2005,Agosto,Línea 7,NaN
2005-08-17,2005,Agosto,Línea 2,NaN
2005-08-17,2005,Agosto,Línea 5,NaN
2005-08-17,2005,Agosto,Línea 6,NaN
2005-08-17,2005,Agosto,Línea 1,273564
2005-08-17,2005,Agosto,Línea 4,NaN
2005-08-17,2005,Agosto,Línea 3,NaN
2005-08-18,2005,Agosto,Línea 2,NaN
2005-08-18,2005,Agosto,Línea 3,NaN
2005-08-18,2005,Agosto,Línea 6,NaN
2005-08-18,2005,Agosto,Línea 4,NaN
2005-08-18,2005,Agosto,Línea 5,NaN
2005-08-18,2005,Agosto,Línea 7,NaN
2005-08-18,2005,Agosto,Línea 1,265590
2005-08-19,2005,Agosto,Línea 1,279058
2005-08-19,2005,Agosto,Línea 2,NaN
2005-08-19,2005,Agosto,Línea 6,NaN
2005-08-19,2005,Agosto,Línea 7,NaN
2005-08-19,2005,Agosto,Línea 3,NaN
2005-08-19,2005,Agosto,Línea 4,NaN
2005-08-19,2005,Agosto,Línea 5,NaN
2005-08-20,2005,Agosto,Línea 3,NaN
2005-08-20,2005,Agosto,Línea 2,NaN
2005-08-20,2005,Agosto,Línea 6,NaN
2005-08-20,2005,Agosto,Línea 4,NaN
2005-08-20,2005,Agosto,Línea 5,NaN
2005-08-20,2005,Agosto,Línea 7,NaN
2005-08-20,2005,Agosto,Línea 1,150914
2005-08-21,2005,Agosto,Línea 7,NaN
2005-08-21,2005,Agosto,Línea 4,NaN
2005-08-21,2005,Agosto,Línea 2,NaN
2005-08-21,2005,Agosto,Línea 5,NaN
