fecha,mes,anio,linea,tipo_pago,afluencia
2021-01-07,Enero,2021,Línea 6,Gratuidad,7172
2021-01-07,Enero,2021,Línea 7,Prepago,55055
2021-01-07,Enero,2021,Línea 7,Gratuidad,812
2021-01-08,Enero,2021,Línea 1,Prepago,179232
2021-01-08,Enero,2021,Línea 1,Gratuidad,9301
2021-01-08,Enero,2021,Línea 2,Prepago,80388
2021-01-08,Enero,2021,Línea 2,Gratuidad,6113
2021-01-08,Enero,2021,Línea 3,Prepago,64297
2021-01-08,Enero,2021,Línea 3,Gratuidad,6741
2021-01-08,Enero,2021,Línea 4,Prepago,33538
2021-01-08,Enero,2021,Línea 4,Gratuidad,1657
2021-01-08,Enero,2021,Línea 5,Prepago,86905
2021-01-08,Enero,2021,Línea 5,Gratuidad,9359
2021-01-08,Enero,2021,Línea 6,Prepago,83533
2021-01-08,Enero,2021,Línea 6,Gratuidad,7006
2021-01-08,Enero,2021,Línea 7,Prepago,59654
2021-01-08,Enero,2021,Línea 7,Gratuidad,1130
2021-01-09,Enero,2021,Línea 1,Prepago,204550
2021-01-09,Enero,2021,Línea 1,Gratuidad,10651
2021-01-09,Enero,2021,Línea 2,Prepago,84690
2021-01-09,Enero,2021,Línea 2,Gratuidad,5723
2021-01-09,Enero,2021,Línea 3,Prepago,82579
2021-01-09,Enero,2021,Línea 3,Gratuidad,7936
2021-01-09,Enero,2021,Línea 4,Prepago,50885
2021-01-09,Enero,2021,Línea 4,Gratuidad,2194
2021-01-09,Enero,2021,Línea 5,Prepago,80932
2021-01-09,Enero,2021,Línea 5,Gratuidad,8760
2021-01-09,Enero,2021,Línea 6,Prepago,88426
2021-01-09,Enero,2021,Línea 6,Gratuidad,6434
2021-01-09,Enero,2021,Línea 7,Prepago,73714
2021-01-09,Enero,2021,Línea 7,Gratuidad,1086
2021-01-10,Enero,2021,Línea 1,Prepago,125488
2021-01-10,Enero,2021,Línea 1,Gratuidad,7379
2021-01-10,Enero,2021,Línea 2,Prepago,56030
2021-01-10,Enero,2021,Línea 2,Gratuidad,4375
2021-01-10,Enero,2021,Línea 3,Prepago,50644
2021-01-10,Enero,2021,Línea 3,Gratuidad,5352
2021-01-10,Enero,2021,Línea 4,Prepago,22309
2021-01-10,Enero,2021,Línea 4,Gratuidad,1653
2021-01-10,Enero,2021,Línea 5,Prepago,59441
2021-01-10,Enero,2021,Línea 5,Gratuidad,7130
2021-01-10,Enero,2021,Línea 6,Prepago,57260
2021-01-10,Enero,2021,Línea 6,Gratuidad,4915
2021-01-10,Enero,2021,Línea 7,Prepago,45865
2021-01-10,Enero,2021,Línea 7,Gratuidad,1017
2021-01-11,Enero,2021,Línea 1,Prepago,301556
2021-01-11,Enero,2021,Línea 1,Gratuidad,13711
2021-01-11,Enero,2021,Línea 2,Prepago,107512
2021-01-11,Enero,2021,Línea 2,Gratuidad,7249
2021-01-11,Enero,2021,Línea 3,Prepago,106787
2021-01-11,Enero,2021,Línea 3,Gratuidad,9925
